,posted_on,bhk,size,floor,area_type,area_locality,city,furnishing_status,tenant_preferred,bathroom,point_of_contact,rent,floor_number,3_or_less_bhk,size_type,normalize_rent,Standardization_size
1734,2022-07-08,3,1800.0,3 out of 4,carpet area,unknown place,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,29000,3.0,0,large,0.4894366197183099,2.244040963497241
1735,2022-05-09,2,900.0,Ground out of 2,carpet area,"fci layout, deepanjali nagar",bangalore,Unfurnished,bachelors/family,2.0,Contact Owner,12000,0.0,1,medium,0.19014084507042256,0.14266818413332624
1736,2022-05-17,2,1000.0,2 out of 2,super area,mathikere,bangalore,Semi-Furnished,bachelors,2.0,Contact Owner,10000,2.0,1,medium,0.15492957746478875,0.37615404850709455
1737,2022-05-28,3,500.0,,carpet area,"ombr layout, banaswadi",hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Owner,12500,-1.0,0,small,0.198943661971831,-0.791275273361747
1739,2022-05-14,1,416.0,19 out of 20,super area,kengeri hobli,bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,8000,19.0,1,small,0.11971830985915494,-0.9874033994357123
1740,2022-05-25,2,600.0,,carpet area,kodichikkanahalli main road,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,10500,-1.0,1,medium,0.1637323943661972,-0.5577894089879787
1742,2022-05-29,3,1200.0,2 out of 3,super area,uttarahalli,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,16000,2.0,0,large,0.2605633802816901,0.8431257772546311
1743,2022-05-10,3,1600.0,,carpet area,malleshwaram,bangalore,Semi-Furnished,bachelors/family,3.0,Contact Agent,45000,-1.0,0,large,0.7711267605633804,1.7770692347497044
1744,2022-06-16,1,500.0,Ground out of 2,super area,"immadihalli, whitefield",bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,6000,0.0,1,small,0.08450704225352114,-0.791275273361747
1745,2022-05-23,1,500.0,1 out of 4,super area,"bydara halli, benson town",bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,5000,1.0,1,small,0.06690140845070423,-0.791275273361747
1746,2022-05-01,3,1800.0,,super area,yelahanka,bangalore,Semi-Furnished,bachelors/family,3.0,Contact Owner,14000,-1.0,0,large,0.22535211267605634,2.244040963497241
1748,2022-06-16,3,550.0,3 out of 4,carpet area,"jp nagar phase 7, j p nagar",bangalore,Semi-Furnished,bachelors/family,1.0,Contact Agent,11000,3.0,0,medium,0.17253521126760565,-0.6745323411748628
1749,2022-05-27,1,600.0,1 out of 2,super area,"chikkana layout, kammanahalli",bangalore,Semi-Furnished,bachelors,2.0,Contact Owner,5500,1.0,1,medium,0.07570422535211269,-0.5577894089879787
1750,2022-05-27,3,1800.0,1 out of 4,carpet area,"langford town, shanti nagar, hosur road",bangalore,Unfurnished,bachelors,3.0,Contact Agent,55000,1.0,0,large,0.9471830985915494,2.244040963497241
1751,2022-05-23,2,976.0,,super area,"jaya nagar block 5, jayanagar",bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,15000,-1.0,1,medium,0.24295774647887328,0.32011744105739015
1752,2022-05-12,1,350.0,2 out of 3,carpet area,bommanahalli,mumbai,Semi-Furnished,bachelors/family,1.0,Contact Owner,8500,2.0,1,small,0.12852112676056338,-1.1415040699223995
1753,2022-07-02,2,1100.0,Ground out of 2,carpet area,unknown place,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,15000,0.0,1,medium,0.24295774647887328,0.6096399128808628
1754,2022-07-06,2,500.0,,super area,"guddadahalli, mysore road",bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,12000,-1.0,1,small,0.19014084507042256,-0.791275273361747
1755,2022-05-14,2,600.0,3 out of 3,carpet area,"electronics city phase 1, electronic city",bangalore,Semi-Furnished,bachelors,1.0,Contact Owner,7500,3.0,1,medium,0.1109154929577465,-0.5577894089879787
1758,2022-06-16,3,850.0,Ground out of 3,super area,basava nagar,delhi,Semi-Furnished,bachelors/family,2.0,Contact Agent,14500,0.0,0,medium,0.23415492957746478,0.025925251946442084
1759,2022-05-24,1,600.0,2 out of 2,super area,meenakshi layout hosa road,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,6000,2.0,1,medium,0.08450704225352114,-0.5577894089879787
1760,2022-04-30,2,900.0,,carpet area,"kaggadasapura, indira nagar",bangalore,Semi-Furnished,bachelors,2.0,Contact Agent,14000,-1.0,1,medium,0.22535211267605634,0.14266818413332624
1761,2022-06-20,2,300.0,,super area,"kattigenahalli, bellary road",bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,7000,-1.0,1,small,0.10211267605633803,-1.2582470021092835
1764,2022-06-23,3,1000.0,1 out of 3,super area,varthur,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,10000,1.0,0,medium,0.15492957746478875,0.37615404850709455
1765,2022-05-05,3,1700.0,6 out of 9,carpet area,"electronics city phase 1, electronic city",bangalore,Furnished,family,3.0,Contact Owner,31000,6.0,0,large,0.5246478873239437,2.0105550991234726
1766,2022-06-17,2,1100.0,2 out of 4,carpet area,horamavu,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Agent,15000,2.0,1,medium,0.24295774647887328,0.6096399128808628
1767,2022-05-10,1,300.0,Ground out of 4,super area,btm layout,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,11000,0.0,1,small,0.17253521126760565,-1.2582470021092835
1768,2022-06-04,1,600.0,Ground out of 3,super area,unknown place,bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,4500,0.0,1,medium,0.05809859154929578,-0.5577894089879787
1769,2022-06-20,1,1000.0,,super area,k r puram,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,10000,-1.0,1,medium,0.15492957746478875,0.37615404850709455
1770,2022-06-20,3,1200.0,1 out of 2,super area,ramamurthy nagar,bangalore,Unfurnished,bachelors/family,2.0,Contact Owner,10000,1.0,0,large,0.15492957746478875,0.8431257772546311
1771,2022-05-27,1,500.0,Ground out of 3,carpet area,nandini layout,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,9000,0.0,1,small,0.13732394366197184,-0.791275273361747
1772,2022-05-10,2,1050.0,1 out of 3,super area,basaveshwar nagar,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,16000,1.0,1,medium,0.2605633802816901,0.4928969806939787
1774,2022-06-30,2,1000.0,,super area,unknown place,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,10000,-1.0,1,medium,0.15492957746478875,0.37615404850709455
1775,2022-06-12,1,600.0,3 out of 5,carpet area,mahadevapura,bangalore,Furnished,bachelors/family,1.0,Contact Agent,15000,3.0,1,medium,0.24295774647887328,-0.5577894089879787
1776,2022-05-19,1,150.0,2 out of 3,super area,yeshwantpur,bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,3500,2.0,1,small,0.040492957746478875,-1.608475798669936
1777,2022-05-19,2,1400.0,1 out of 2,super area,hebbal,bangalore,Furnished,bachelors/family,2.0,Contact Owner,16000,1.0,1,large,0.2605633802816901,1.3100975060021678
1778,2022-05-19,2,1387.0,Ground out of 4,super area,"nobo nagar, kalena agrahara",bangalore,Semi-Furnished,bachelors/family,3.0,Contact Owner,17000,0.0,1,large,0.278169014084507,1.2797443436335778
1779,2022-05-19,3,1350.0,,super area,unknown place,bangalore,Furnished,bachelors/family,2.0,Contact Owner,30000,-1.0,0,large,0.5070422535211269,1.1933545738152835
1780,2022-06-03,2,1020.0,1 out of 4,super area,electronic city,bangalore,Unfurnished,bachelors/family,2.0,Contact Owner,12000,1.0,1,medium,0.19014084507042256,0.4228512213818482
1781,2022-05-12,1,600.0,2 out of 4,carpet area,byrathi,hyderabad,Semi-Furnished,bachelors/family,1.0,Contact Owner,9000,2.0,1,medium,0.13732394366197184,-0.5577894089879787
1782,2022-06-04,1,400.0,3 out of 4,carpet area,doddanagamangala,chennai,Semi-Furnished,bachelors/family,1.0,Contact Owner,6000,3.0,1,small,0.08450704225352114,-1.0247611377355152
1783,2022-07-06,1,550.0,2 out of 5,carpet area,mahadevapura,mumbai,Semi-Furnished,bachelors,1.0,Contact Agent,20000,2.0,1,medium,0.33098591549295775,-0.6745323411748628
1784,2022-05-12,3,1400.0,2 out of 4,carpet area,"btm layout stage 2, btm layout",bangalore,Furnished,bachelors/family,2.0,Contact Owner,30000,2.0,0,large,0.5070422535211269,1.3100975060021678
1785,2022-06-30,2,1050.0,5 out of 5,carpet area,"hoodi circle, hoodi",chennai,Semi-Furnished,bachelors/family,2.0,Contact Agent,20000,5.0,1,medium,0.33098591549295775,0.4928969806939787
1786,2022-07-04,2,800.0,1 out of 5,super area,whitefield,bangalore,Unfurnished,bachelors/family,2.0,Contact Owner,15000,1.0,1,medium,0.24295774647887328,-0.09081768024044207
1787,2022-06-04,2,1100.0,,super area,kodi halli,bangalore,Unfurnished,bachelors/family,2.0,Contact Owner,20000,-1.0,1,medium,0.33098591549295775,0.6096399128808628
1788,2022-06-04,3,1500.0,Ground out of 3,super area,unknown place,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,25000,0.0,0,large,0.41901408450704225,1.543583370375936
1789,2022-06-19,1,800.0,2 out of 3,carpet area,yelechenahalli,bangalore,Furnished,bachelors/family,1.0,Contact Owner,9000,2.0,1,medium,0.13732394366197184,-0.09081768024044207
1790,2022-07-06,2,800.0,Ground out of 4,carpet area,j p nagar,bangalore,Semi-Furnished,bachelors,1.0,Contact Owner,17000,0.0,1,medium,0.278169014084507,-0.09081768024044207
1791,2022-07-04,2,1200.0,2 out of 3,super area,padmanabha nagar,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,16500,2.0,1,large,0.2693661971830986,0.8431257772546311
1792,2022-06-04,1,450.0,2 out of 4,super area,"kattigenahalli, bellary road",bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,7000,2.0,1,small,0.10211267605633803,-0.9080182055486311
1794,2022-05-05,3,720.0,1 out of 4,super area,k r puram,kolkata,Semi-Furnished,bachelors/family,2.0,Contact Owner,8500,1.0,0,medium,0.12852112676056338,-0.27760637173945674
1796,2022-05-11,2,1100.0,2 out of 3,super area,jayanagar,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,20000,2.0,1,medium,0.33098591549295775,0.6096399128808628
1797,2022-07-10,3,1645.0,6 out of 12,carpet area,"electronic city phase 2, electronic city",bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,30000,6.0,0,large,0.5070422535211269,1.8821378737179002
1799,2022-06-04,1,500.0,2 out of 3,super area,kengeri satellite town,bangalore,Unfurnished,bachelors/family,3.0,Contact Owner,7000,2.0,1,small,0.10211267605633803,-0.791275273361747
1800,2022-06-12,2,600.0,,super area,unknown place,bangalore,Furnished,bachelors/family,2.0,Contact Owner,10000,-1.0,1,medium,0.15492957746478875,-0.5577894089879787
1801,2022-05-10,1,600.0,1 out of 3,carpet area,hmt layout nagasandra,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,5000,1.0,1,medium,0.06690140845070423,-0.5577894089879787
1802,2022-06-20,3,1893.0,Ground out of 18,super area,begur road,bangalore,Semi-Furnished,bachelors,4.0,Contact Agent,30000,0.0,0,large,0.5070422535211269,2.461182817364845
1803,2022-06-20,4,450.0,1 out of 4,super area,nimbekaipura,bangalore,Unfurnished,bachelors,1.0,Contact Owner,6500,1.0,0,small,0.09330985915492958,-0.9080182055486311
1806,2022-07-06,2,1296.0,9 out of 22,super area,kanakapura road,bangalore,Unfurnished,bachelors,2.0,Contact Agent,30000,9.0,1,large,0.5070422535211269,1.0672722070534488
1807,2022-06-30,2,1000.0,4 out of 5,carpet area,"kaggadasapura, indira nagar",bangalore,Semi-Furnished,bachelors,4.0,Contact Agent,20000,4.0,1,medium,0.33098591549295775,0.37615404850709455
1808,2022-07-09,1,600.0,4 out of 5,carpet area,"kr garden-murugeshpalya, murugeshpalya, airport road",bangalore,Semi-Furnished,bachelors,1.0,Contact Agent,16500,4.0,1,medium,0.2693661971830986,-0.5577894089879787
1809,2022-06-06,1,600.0,3 out of 3,carpet area,j p nagar,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,15000,3.0,1,medium,0.24295774647887328,-0.5577894089879787
1813,2022-06-04,1,455.0,2 out of 5,carpet area,unknown place,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Agent,22000,2.0,1,small,0.3661971830985916,-0.8963439123299427
1814,2022-06-22,2,575.0,Ground out of 2,carpet area,varanasi,bangalore,Semi-Furnished,bachelors,2.0,Contact Owner,9750,0.0,1,medium,0.15052816901408453,-0.6161608750814208
1815,2022-04-29,2,1066.0,,super area,manayata tech park,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,23000,-1.0,1,medium,0.3838028169014085,0.5302547189937816
1818,2022-07-06,2,1000.0,2 out of 4,carpet area,k r puram,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,11000,2.0,1,medium,0.17253521126760565,0.37615404850709455
1819,2022-07-09,2,800.0,1 out of 3,super area,"srinagar, banashankari",hyderabad,Semi-Furnished,bachelors/family,1.0,Contact Owner,12000,1.0,1,medium,0.19014084507042256,-0.09081768024044207
1821,2022-06-01,2,1350.0,1 out of 2,carpet area,"coffee board layout, nagavara",bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,19000,1.0,1,large,0.31338028169014087,1.1933545738152835
1822,2022-05-10,2,1350.0,1 out of 1,super area,unknown place,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,10000,1.0,1,large,0.15492957746478875,1.1933545738152835
1823,2022-06-04,1,600.0,3 out of 4,super area,"mallathahalli, outer ring road",bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,7500,3.0,1,medium,0.1109154929577465,-0.5577894089879787
1824,2022-07-07,3,2150.0,,super area,unknown place,bangalore,Unfurnished,bachelors,3.0,Contact Agent,55000,-1.0,0,large,0.9471830985915494,3.06124148880543
1825,2022-06-27,2,1080.0,3 out of 5,carpet area,hosakerehalli,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,11000,3.0,1,medium,0.17253521126760565,0.5629427400061092
1826,2022-06-23,2,1450.0,,super area,old airport road,bangalore,Semi-Furnished,bachelors/family,3.0,Contact Agent,50000,-1.0,1,large,0.8591549295774649,1.4268404381890518
1827,2022-05-23,2,700.0,,super area,unknown place,bangalore,Unfurnished,bachelors/family,2.0,Contact Owner,13500,-1.0,1,medium,0.2165492957746479,-0.32430354461421035
1830,2022-07-04,1,500.0,2 out of 4,super area,bilekahalli,bangalore,Semi-Furnished,bachelors/family,3.0,Contact Owner,7000,2.0,1,small,0.10211267605633803,-0.791275273361747
1831,2022-07-04,2,850.0,2 out of 3,super area,unknown place,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,10000,2.0,1,medium,0.15492957746478875,0.025925251946442084
1832,2022-05-10,1,400.0,2 out of 3,super area,"bikasipura, kanakapura road",bangalore,Unfurnished,bachelors/family,2.0,Contact Owner,7000,2.0,1,small,0.10211267605633803,-1.0247611377355152
1834,2022-06-08,2,600.0,2 out of 4,super area,kudlu,bangalore,Semi-Furnished,family,2.0,Contact Owner,11000,2.0,1,medium,0.17253521126760565,-0.5577894089879787
1835,2022-05-24,1,450.0,,super area,unknown place,bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,9000,-1.0,1,small,0.13732394366197184,-0.9080182055486311
1838,2022-05-10,2,650.0,3 out of 4,super area,banashankari,bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,12500,3.0,1,medium,0.198943661971831,-0.44104647680109454
1840,2022-06-16,2,1025.0,2 out of 4,carpet area,indira nagar,bangalore,Semi-Furnished,bachelors,2.0,Contact Agent,30000,2.0,1,medium,0.5070422535211269,0.4345255146005366
1841,2022-06-06,2,1100.0,1 out of 4,carpet area,bannerghatta main road,bangalore,Semi-Furnished,bachelors,2.0,Contact Agent,17000,1.0,1,medium,0.278169014084507,0.6096399128808628
1842,2022-05-19,1,350.0,2 out of 3,super area,banaswadi,bangalore,Unfurnished,bachelors/family,2.0,Contact Owner,8000,2.0,1,small,0.11971830985915494,-1.1415040699223995
1844,2022-06-27,2,600.0,2 out of 3,super area,"banashankari stage 3, banashankari",bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,13000,2.0,1,medium,0.20774647887323944,-0.5577894089879787
1845,2022-07-06,2,800.0,,super area,"horamavu agara, hormavu",bangalore,Semi-Furnished,family,2.0,Contact Owner,12000,-1.0,1,medium,0.19014084507042256,-0.09081768024044207
1846,2022-07-04,2,700.0,2 out of 5,super area,"jp nagar phase 7, j p nagar",chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,17000,2.0,1,medium,0.278169014084507,-0.32430354461421035
1848,2022-06-18,3,1600.0,20 out of 25,super area,hennur main road,kolkata,Semi-Furnished,bachelors/family,2.0,Contact Owner,35000,20.0,0,large,0.5950704225352114,1.7770692347497044
1849,2022-05-10,2,1180.0,1 out of 3,carpet area,electronic city,bangalore,Semi-Furnished,family,2.0,Contact Owner,13000,1.0,1,large,0.20774647887323944,0.7964286043798775
1850,2022-04-29,2,1400.0,2 out of 4,super area,kothanur,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,12000,2.0,1,large,0.19014084507042256,1.3100975060021678
1851,2022-04-29,1,750.0,2 out of 5,super area,whitefield,bangalore,Semi-Furnished,bachelors,1.0,Contact Owner,10000,2.0,1,medium,0.15492957746478875,-0.20756061242732624
1852,2022-06-28,2,580.0,Ground out of 3,carpet area,visthar,bangalore,Semi-Furnished,bachelors,1.0,Contact Owner,9000,0.0,1,medium,0.13732394366197184,-0.6044865818627323
1853,2022-05-04,3,350.0,Ground out of 1,super area,k r puram,bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,6000,0.0,0,small,0.08450704225352114,-1.1415040699223995
1854,2022-05-11,2,1100.0,1 out of 2,super area,sarjapur road,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,8900,1.0,1,medium,0.13556338028169015,0.6096399128808628
1856,2022-06-23,2,1105.0,1 out of 4,super area,unknown place,chennai,Furnished,bachelors/family,2.0,Contact Owner,24000,1.0,1,large,0.4014084507042254,0.6213142060995512
1857,2022-07-05,2,1080.0,,carpet area,"jalahalli, jalahalli, outer ring road",bangalore,Furnished,bachelors/family,2.0,Contact Owner,18500,-1.0,1,medium,0.3045774647887324,0.5629427400061092
1859,2022-05-23,1,600.0,Ground out of 3,super area,uttarahalli,bangalore,Semi-Furnished,bachelors/family,1.0,Contact Owner,8000,0.0,1,medium,0.11971830985915494,-0.5577894089879787
1860,2022-07-04,3,850.0,Ground out of 3,super area,horamavu,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,15000,0.0,0,medium,0.24295774647887328,0.025925251946442084
1862,2022-07-04,2,900.0,4 out of 5,super area,unknown place,bangalore,Furnished,bachelors/family,2.0,Contact Owner,17000,4.0,1,medium,0.278169014084507,0.14266818413332624
1863,2022-07-06,3,1250.0,3 out of 5,carpet area,"bhel township- malleshwaram, malleshwaram",bangalore,Semi-Furnished,bachelors/family,3.0,Contact Agent,50000,3.0,0,large,0.8591549295774649,0.9598687094415153
1864,2022-06-22,2,800.0,,carpet area,"ews colony, btm layout",bangalore,Unfurnished,bachelors,2.0,Contact Owner,14000,-1.0,1,medium,0.22535211267605634,-0.09081768024044207
1865,2022-05-14,3,500.0,,super area,peenya 2nd stage,bangalore,Unfurnished,bachelors,1.0,Contact Owner,5000,-1.0,0,small,0.06690140845070423,-0.791275273361747
1866,2022-04-28,2,600.0,2 out of 3,super area,"electronic city phase 2, electronic city",bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,8000,2.0,1,medium,0.11971830985915494,-0.5577894089879787
1867,2022-05-19,3,904.0,1 out of 5,carpet area,unknown place,delhi,Semi-Furnished,bachelors/family,2.0,Contact Owner,20000,1.0,0,medium,0.33098591549295775,0.15200761870827698
1869,2022-07-07,1,1252.0,3 out of 5,carpet area,kogilu,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,20000,3.0,1,large,0.33098591549295775,0.9645384267289907
